# CoordinateSystem: PROJCS["ETRS89 / UTM zone 32N",GEOGCS["ETRS89",DATUM["European Terrestrial Reference System 1989",SPHEROID["GRS 1980",6378137,298.257222101,AUTHORITY["EPSG","7019"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6258"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4258"]],PROJECTION["Transverse_Mercator",AUTHORITY["EPSG","9807"]],PARAMETER["latitude_of_origin",0],PARAMETER["central_meridian",9],PARAMETER["scale_factor",0.9996],PARAMETER["false_easting",500000],PARAMETER["false_northing",0],UNIT["metre",1,AUTHORITY["EPSG","9001"]],AUTHORITY["EPSG","25832"]]
#Label	X/Easting	Y/Northing	Z/Altitude	Yaw	Pitch	Roll
100_0002_0147.JPG	719898.941683	6191987.885271	124.560072	29.000000	0.100000	-0.000000
100_0002_0148.JPG	719902.816257	6191995.693153	124.560072	28.800000	0.100000	-0.000000
100_0002_0149.JPG	719906.490139	6192003.522075	124.490072	28.900000	0.100000	-0.000000
100_0002_0150.JPG	719910.364656	6192011.404670	124.490072	28.900000	0.100000	-0.000000
100_0002_0151.JPG	719914.052883	6192019.309036	124.490072	28.200000	0.100000	-0.000000
100_0002_0152.JPG	719918.038407	6192027.044515	124.530072	28.600000	0.100000	-0.000000
100_0002_0153.JPG	719921.929131	6192034.730586	124.540072	28.800000	0.100000	-0.000000
100_0002_0154.JPG	719925.757754	6192042.576304	124.550072	29.100000	0.100000	-0.000000
100_0002_0155.JPG	719929.604072	6192050.444111	124.550072	28.400000	0.100000	-0.000000
100_0002_0156.JPG	719933.569797	6192058.209825	124.530072	28.900000	0.100000	-0.000000
100_0002_0157.JPG	719934.685115	6192063.516031	124.480072	328.500000	0.100000	0.000175
100_0002_0158.JPG	719925.169946	6192062.737525	124.400072	272.400000	0.100000	-0.000000
100_0002_0159.JPG	719916.639200	6192062.437183	124.480072	269.800000	0.100000	-0.000000
100_0002_0160.JPG	719910.813517	6192057.653458	124.510072	221.700000	0.100000	-0.000000
100_0002_0161.JPG	719907.055584	6192049.973021	124.490072	211.400000	0.100000	-0.000000
100_0002_0162.JPG	719903.228517	6192042.232214	124.540072	209.600000	0.100000	-0.000000
100_0002_0163.JPG	719899.247855	6192034.437898	124.610072	210.000000	0.100000	-0.000000
100_0002_0164.JPG	719895.427665	6192026.610476	124.550072	209.500000	0.100000	-0.000000
100_0002_0165.JPG	719891.673428	6192018.794211	124.440072	209.700000	0.100000	-0.000000
100_0002_0166.JPG	719887.718846	6192010.868544	124.490072	209.500000	0.100000	-0.000000
100_0002_0167.JPG	719883.868003	6192003.075261	124.520072	209.500000	0.100000	-0.000000
100_0002_0168.JPG	719879.939823	6191995.210041	124.500072	209.900000	0.100000	-0.000000
100_0002_0169.JPG	719876.125253	6191987.394077	124.460072	209.700000	0.100000	-0.000000
100_0002_0170.JPG	719872.485433	6191979.659463	124.460072	209.600000	0.100000	-0.000000
